54,0.1,Cap MLCC 0.1uF 50V X7R P5.08mm Radial,80-C322C104K5R5TA,Order Quantity,Manufacturer Name,Datasheet URL,Quoted Part Number,Order Price,Min\Mult Order Qty
15,10uF,Cap Alu 10uF 25V 5x5mm P2.5mm Radial,667-ECE-A1EKS100I,15,Panasonic,https://www.mouser.com/datasheet/2/315/ABA0000C1059-947582.pdf,667-ECE-A1EKS100I,$0.12,1\1
2,470pF,Cap MLCC 470pF X7R Axial,594-A471K15X7RF5UAA,2,Vishay,https://www.vishay.com/doc?45164,594-A471K15X7RF5UAA,$0.26,1\1
1,2200uF,Cap Elyt 2200uF 16V 15x30mm Axial,594-2222-021-16222,1,Vishay,https://www.vishay.com/doc?28264,594-2222-021-16222,$4.66,1\1
2,0.22,Cap Polyester Film 0.22uF 63VAC P10mm,594-2222-368-25224,2,Vishay,https://www.vishay.com/doc?28171,594-2222-368-25224,$0.65,1\1
1,360pF,Cap MLCC 350pF 50V C0G Axial,594-A331J15C0GF5TAA,1,Vishay,https://www.vishay.com/doc?45164,594-A331J15C0GF5TAA,$0.31,1\1
1,20pF,Cap MLCC 20pF C0G Axial,581-SA102A200JAR,1,KYOCERA AVX,https://www.mouser.com/datasheet/2/40/SASprinGuard-1158830.pdf,581-SA102A200JAR,$0.47,1\1
1,51pF,Cap MLCC 51pF (47pF OK) X7R Axial,581-SA102A470JAR,1,KYOCERA AVX,https://www.mouser.com/datasheet/2/40/SASprinGuard-1158830.pdf,581-SA102A470JAR,$0.37,1\1
2,1800pF,Cap MLCC 1800pF X7R Axial,581-SA101C182KAR,2,KYOCERA AVX,https://www.mouser.com/datasheet/2/40/SASprinGuard-1158830.pdf,581-SA101C182KAR,$0.43,1\1
1,15pF 5%,Cap MLCC 15pF 50V 5% C0G Axial/Radial Leaded,594-A150J15C0GH5TAA,1,Vishay,https://www.vishay.com/doc?45164,594-A150J15C0GH5TAA,$0.31,1\1
1,0.47,Cap MLCC 0.47uF +80/-20% X7R P5.08mm Radial,80-C330C474K5R ,1,KEMET,https://www.mouser.com/datasheet/2/447/KEM_C1050_GOLDMAX_X7R-3316381.pdf,80-C330C474K5R,$0.43,1\1
2,82pF,Cap MLCC 82pF 100V C0G Axial / Radial Disc,80-C410C820J1G,2,KEMET,https://www.mouser.com/datasheet/2/447/KEM_C1040_AXIMAX_C0G-3316406.pdf,80-C410C820J1G,$0.31,1\1
1,1000uF,Cap Elyt 1000uF 16V 20% 10x30mm Axial,594-2222-021-15102,1,Vishay,https://www.vishay.com/doc?28264,594-2222-021-15102,$3.71,1\1
1,470uF,Cap Elyt 470uF 50V 20% 13x26mm Axial,598-477TTA050M,1,Cornell Dubilier,https://www.cde.com/resources/catalogs/TTA.pdf,598-477TTA050M,$2.25,1\1
1,100uF,Cap Elyt 100uF 16V 20% 6.3x11mm Radial,REA101M1CBK-0611P,1,Lelon,https://www.mouser.com/datasheet/2/231/lelon_REA[1]-1174811.pdf,140-REA101M1CBK0611P,,1\1
2,0.22,Cap MLCC 0.22uF 50V X7R P5.08mm Radial,80-C330C224K1R,2,KEMET,https://www.mouser.com/datasheet/2/447/KEM_C1050_GOLDMAX_X7R-3316381.pdf,80-C330C224K1R,$0.38,1\1
1,KEYBOARD_20PIN_MALE,Pin Header 20 POS P2.54mm male vertical,538-22-28-4204,1,Molex,https://www.molex.com/en-us/products/part-detail/22284204?display=pdf,538-22-28-4204,$1.67,1\1
1,LED_CONNECTOR,Pin Header 3 POS P2.54mm male vertical,538-22-28-4033,1,Molex,https://www.molex.com/en-us/products/part-detail/22284033?display=pdf,538-22-28-4033,$0.28,1\1
2,CONTROL_PORT,Standard Connector DSUB E09P RA590,571-5747467-1,2,TE Connectivity,https://www.mouser.com/datasheet/2/418/9/ENG_CS_82068_AMPLIMITE_Right_Angle_Posted_Conn_041-3352032.pdf,571-5747467-1,$7.10,1\1
1,IN4371,Zener Diode 2.7V 500mW DO-35-2,78-TZX2V7A,1,Vishay,https://www.vishay.com/doc?95449,78-TZX2V7A,$0.23,1\1
1,IN755,Zener Diode 7.5V 500mW DO-35-2,78-TZX7V5C,1,Vishay,https://www.vishay.com/doc?95449,78-TZX7V5C,$0.23,1\1
1,BRIDGE_RECTIFIER,Bridge Rectifier 2A 600V Vf=1.05V,627-S2VB60-5000,1,Shindengen,https://www.mouser.com/datasheet/2/366/J534S2VB-1203088.pdf,627-S2VB60-5000,$2.49,1\1
2,1N4001,Rectifier 1A Vr=50V,625-1N4001-E3/54 ,2,Vishay,https://www.vishay.com/doc?88840,625-1N4001-E3/54,$0.33,1\1
2,1A,Fuse Clips (buy two),504-BK/1A1907-03-R,2,Eaton,https://www.mouser.com/datasheet/2/87/eaton_1axxxx_pcb_fuse_clips_atc_atm_blade_data_she-1608562.pdf,504-BK/1A1907-03-R,$0.70,1\1
9,FERRITE_BEAD,Ferrite Bead D3.5 L4.45mm Axial,623-2743001112LF,9,Fair-Rite,https://www.mouser.com/datasheet/2/150/2743001112-1512844.pdf,623-2743001112LF,$0.14,1\1
13,FERRITE_NARROW,Ferrite Bead D3.5 L4.45mm Axial,623-2743001112LF ,13,Fair-Rite,https://www.mouser.com/datasheet/2/150/2743001112-1512844.pdf,623-2743001112LF,$0.076,1\1
1,2.2uH,Inductor 2.2uH 5% Radial,652-78F2R2J-RC,1,Bourns,https://www.mouser.com/datasheet/2/54/78f_series-777133.pdf,652-78F2R2J-RC,$0.31,1\1
1,CHOKE,Common Mode Choke 250V 3.8mH 2.1A 150mOhms,80-SSR10V-21038,1,KEMET,https://www.mouser.com/datasheet/2/447/KEM_LF0042_SSR10V_H-3316793.pdf,80-SSR10V-21038,$1.92,1\1
1,1.2uH,Inductor 1.5uH 10% Radial,542-5800-4R7-RC,1,Bourns,https://www.mouser.com/datasheet/2/54/5800_series-776803.pdf,542-5800-4R7-RC,$1.46,1\1
4,2SC1815,Bipolar Transistor TO-92 Vce=60V 400mA,2SC1815,4,Central Semiconductor,https://my.centralsemi.com/datasheets/2SC1815.PDF,610-2SC1815-Y,$0.93,1\1
1,TP29B/2SD880,Bipolar Transistor TO-220,512-KSD880YTU,1,onsemi,https://www.mouser.com/datasheet/2/308/1/KSD880_D-2314642.pdf,512-KSD880YTU,$0.77,1\1
4,3K3,Resistor 3K3 0207 Axial,594-MBB02070C3301FC1,4,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C3301FC1,$0.63,1\1
2,2K7,Resistor 2K7 0207 Axial,594-MBB02070C2701FCT,2,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C2701FCT,$0.36,1\1
1,15K,Resistor 15K 0207 Axial,594-MBB02070C1502FC1,1,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C1502FC1,$0.63,1\1
2,1.5K,Resistor 1K5 0207 Axial,594-MBB02070C1501FCT,2,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C1501FCT,$0.16,1\1
2,100,Resistor 100 0207 Axial,594-MBB02070C1000FCT,2,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C1000FCT,$0.10,1\1
1,500,Trimmer Resistor 500 Ohms Linear,652-3306F-1-501,1,Bourns,https://www.mouser.com/datasheet/2/54/3306-776934.pdf,652-3306F-1-501,$0.49,1\1
10,1K,Resistor 1K 0207 Axial,594-MBB02070C1001FCT,10,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C1001FCT,$0.095,1\1
2,10K,Resistor 10K 0207 Axial,594-MBB02070C1002FCT,2,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C1002FCT,$0.36,1\1
2,47K,Resistor 47K 0207 Axial,594-MBB02070C4702FC1,2,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C4702FC1,$0.50,1\1
1,470K,Resistor 470K 0207 Axial,594-MBB02070C4703FCT,1,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C4703FCT,$0.36,1\1
1,390,Resistor 390 0207 Axial,594-MBB02070C3900FCT,1,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C3900FCT,$0.36,1\1
2,1M,Resistor 1M 0207 Axial,594-MBB02070C1004FCT,2,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C1004FCT,$0.16,1\1
1,560,Resistor 560 0207 Axial,594-MBB02070C5600FCT,1,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C5600FCT,$0.36,1\1
1,330,Resistor 330 0207 Axial,594-MBB02070C3300FCT,1,Vishay,https://www.vishay.com/doc?28919,594-MBB02070C3300FCT,$0.16,1\1
2,33,Resistor Network 33R Isolated 8 pin SIP,652-4308R-2LF-33,2,Bourns,https://www.mouser.com/datasheet/2/54/4300R-777281.pdf,652-4308R-2LF-33,$2.19,1\1
1,R_ARRAY_7WAY_US,Resistor Network 3K3 Bussed 8 pin SIP,774-77081332P,1,CTS,https://www.mouser.com/datasheet/2/96/770-786259.pdf,774-77081332P,$3.49,1\1
1,R_ARRAY_9WAY_US,Resistor Network 3K3 Bussed 10 pin SIP,774-770101332P,1,CTS,https://www.mouser.com/datasheet/2/96/770-786259.pdf,774-770101332P,$3.90,1\1
1,74LS258,QUADRUPLE 2-LINE TO 1-LINE DATA SELECTORS/MULTIPLEXERS,595-SN74LS258BN ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls257b,595-SN74LS258BN,$1.10,1\1
1,74LS139,DUAL 2-LINE TO 4-LINE DECODERS/MULTIPLEXERS,595-SN74LS139AN ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn54ls139a,595-SN74LS139AN,$0.78,1\1
1,556,DUAL PRECISION TIMERS,595-NE556N ,1,Texas Instruments,https://www.ti.com/lit/gpn/ne555,595-NE556N,$0.46,1\1
2,74LS257,QUADRUPLE 2-LINE TO 1-LINE DATA SELECTORS/MULTIPLEXERS,595-SN74LS257BN ,2,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls257b,595-SN74LS257BN,$0.97,1\1
1,74LS373,OCTAL D-TYPE TRANSPARENT LATCHES AND EDGE-TRIGGERED FLIP-FLOPS,595-SN74LS373N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls373,595-SN74LS373N,$0.92,1\1
1,7408,QUADRUPLE 2-INPUT POSITIVE-AND GATES,595-SN74LS08N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls08,595-SN74LS08N,$0.81,1\1
2,4066,CMOS Quad Bilateral Switch,595-CD4066BE ,2,Texas Instruments,https://www.ti.com/lit/gpn/cd4066b,595-CD4066BE,$0.87,1\1
1,74LS74,DUAL D-TYPE POSITIVE-EDGE-TRIGGERED FLIP-FLOPS WITH PRESET AND CLEAR,595-SN74LS74AN ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls74a,595-SN74LS74AN,$0.57,1\1
1,74LS193,SYNCHRONOUS 4-BIT UP/DOWN COUNTERS (DUAL CLOCK WITH CLEAR),595-SN74LS193N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls193,595-SN74LS193N,$1.25,1\1
1,74LS629N,VOLTAGE-CONTROLLED OSCILLATORS,595-SN74LS629N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls629,595-SN74LS629N,$5.93,1\1
1,7406N,HEX INVERTER BUFFERS/DRIVERSWITH OPEN-COLLECTOR HIGH-VOLTAGE OUTPUTS,595-SN7406N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn7406,595-SN7406N,$0.95,1\1
1,7812,Linear Voltage Regulators 12V 1A Positive,863-MC7812CTG ,1,onsemi,https://www.mouser.com/datasheet/2/308/1/MC7800_D-2315963.pdf,863-MC7812CTG,$0.62,1\1
1,7805,Linear Voltage Regulators 5V 1A Positive,863-MC7805CTG ,1,onsemi,https://www.mouser.com/datasheet/2/308/1/MC7800_D-2315963.pdf,863-MC7805CTG,$0.62,1\1
1,Crystal,Crystals HC49/U,815-AB-17.734475-B4 ,1,ABRACON,https://www.mouser.com/datasheet/2/3/ab-39594.pdf,815-AB-17.734475-B4,$0.75,1\1
4,,Socket PDIP 40P P2.54mm W15.24mm DUAL WIPE,517-4840-6000-CP,4,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4840-6000-CP,$1.18,1\1
2,,Socket PDIP 28P P2.54mm W15.24mm DUAL WIPE,517-4828-6000-CP,2,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4828-6000-CP,$1.07,1\1
3,,Socket PDIP 24P P2.54mm W15.24mm DUAL WIPE,517-4824-6000-CP,3,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4824-6000-CP,$0.74,1\1
1,,Socket PDIP 20P P2.54mm W7.62mm DUAL WIPE,517-4820-3000-CP,1,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4820-3000-CP,$0.80,1\1
1,,Socket PDIP 18P P2.54mm W7.62mm DUAL WIPE,517-4818-3000-CP,1,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4818-3000-CP,$0.65,1\1
14,,Socket PDIP 16P P2.54mm W7.62mm DUAL WIPE,517-4816-3000-CP,14,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4816-3000-CP,$0.383,1\1
7,,Socket PDIP 14P P2.54mm W7.62mm DUAL WIPE,517-4814-3000-CP,7,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4814-3000-CP,$0.49,1\1
